r^|^calendar_year_month_id^|^calendar_year_week_id^|^fiscal_year^|^month_start_dt^|^month_end_dt^|^week_day_cd^|^public_holiday_ind
20050611^|^2005^|^20056^|^47^|^2005^|^20050601^|^20050630^|^SAT^|^N
20050612^|^2006^|^20057^|^48^|^2006^|^20050601^|^20050630^|^SAT^|^N
20050613^|^2007^|^20058^|^49^|^2007^|^20050601^|^20050630^|^SAT^|^N
20050614^|^2008^|^20059^|^50^|^2008^|^20050601^|^20050630^|^SAT^|^N
20050615^|^2009^|^20060^|^51^|^2009^|^20050601^|^20050630^|^SAT^|^N
20050616^|^2010^|^20061^|^52^|^2010^|^20050601^|^20050630^|^SAT^|^N
20050617^|^2011^|^20062^|^53^|^2011^|^20050601^|^20050630^|^SAT^|^N
20050618^|^2012^|^20063^|^54^|^2012^|^20050601^|^20050630^|^SAT^|^N
20050619^|^2013^|^20064^|^55^|^2013^|^20050601^|^20050630^|^SAT^|^N
20050620^|^2014^|^20065^|^56^|^2014^|^20050601^|^20050630^|^SAT^|^N
20050621^|^2015^|^20066^|^57^|^2015^|^20050601^|^20050630^|^SAT^|^N
20050622^|^2016^|^20067^|^58^|^2016^|^20050601^|^20050630^|^SAT^|^N
20050623^|^2017^|^20068^|^59^|^2017^|^20050601^|^20050630^|^SAT^|^N
20050624^|^2018^|^20069^|^60^|^2018^|^20050601^|^20050630^|^SAT^|^N
20050625^|^2019^|^20070^|^61^|^2019^|^20050601^|^20050630^|^SAT^|^N
20050626^|^2020^|^20071^|^62^|^2020^|^20050601^|^20050630^|^SAT^|^N
20050627^|^2021^|^20072^|^63^|^2021^|^20050601^|^20050630^|^SAT^|^N
20050628^|^2022^|^20073^|^64^|^2022^|^20050601^|^20050630^|^SAT^|^N
20050629^|^2023^|^20074^|^65^|^2023^|^20050601^|^20050630^|^SAT^|^N
20050630^|^2024^|^20075^|^66^|^2024^|^20050601^|^20050630^|^SAT^|^N
20050701^|^2025^|^20076^|^67^|^2025^|^20050601^|^20050630^|^SAT^|^N
20050702^|^2026^|^20077^|^68^|^2026^|^20050601^|^20050630^|^SAT^|^N
20050703^|^2027^|^20078^|^69^|^2027^|^20050601^|^20050630^|^SAT^|^N
20050704^|^2028^|^20079^|^70^|^2028^|^20050601^|^20050630^|^SAT^|^N
20050705^|^2029^|^20080^|^71^|^2029^|^20050601^|^20050630^|^SAT^|^N
20050706^|^2030^|^20081^|^72^|^2030^|^20050601^|^20050630^|^SAT^|^N
20050707^|^2031^|^20082^|^73^|^2031^|^20050601^|^20050630^|^SAT^|^N
20050708^|^2032^|^20083^|^74^|^2032^|^20050601^|^20050630^|^SAT^|^N
20050709^|^2033^|^20084^|^75^|^2033^|^20050601^|^20050630^|^SAT^|^N
20050710^|^2034^|^20085^|^76^|^2034^|^20050601^|^20050630^|^SAT^|^N
20050711^|^2035^|^20086^|^77^|^2035^|^20050601^|^20050630^|^SAT^|^N
20050712^|^2036^|^20087^|^78^|^2036^|^20050601^|^20050630^|^SAT^|^N
20050713^|^2037^|^20088^|^79^|^2037^|^20050601^|^20050630^|^SAT^|^N
20050714^|^2038^|^20089^|^80^|^2038^|^20050601^|^20050630^|^SAT^|^N
20050715^|^2039^|^20090^|^81^|^2039^|^20050601^|^20050630^|^SAT^|^N
20050716^|^2040^|^20091^|^82^|^2040^|^20050601^|^20050630^|^SAT^|^N
20050717^|^2041^|^20092^|^83^|^2041^|^20050601^|^20050630^|^SAT^|^N
20050718^|^2042^|^20093^|^84^|^2042^|^20050601^|^20050630^|^SAT^|^N
20050719^|^2043^|^20094^|^85^|^2043^|^20050601^|^20050630^|^SAT^|^N
20050720^|^2044^|^20095^|^86^|^2044^|^20050601^|^20050630^|^SAT^|^N
20050721^|^2045^|^20096^|^87^|^2045^|^20050601^|^20050630^|^SAT^|^N
20050722^|^2046^|^20097^|^88^|^2046^|^20050601^|^20050630^|^SAT^|^N

