run_id^|^client_id^|^mt_id^|^tariff_rate^|^tariff_rate_sim_only^|^soc_rate^|^estimated_usage^|^revenue_loss_other_netw^|^used_cf^|^data_volume
47^|^47^|^47^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^47
48^|^48^|^48^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^48
49^|^49^|^49^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^49
50^|^50^|^50^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^50
51^|^51^|^51^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^51
52^|^52^|^52^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^52
53^|^53^|^53^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^53
54^|^54^|^54^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^54
55^|^55^|^55^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^55
56^|^56^|^56^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^56
57^|^57^|^57^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^57
58^|^58^|^58^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^58
59^|^59^|^59^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^59
60^|^60^|^60^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^60
61^|^61^|^61^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^61
62^|^62^|^62^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^62
63^|^63^|^63^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^63
64^|^64^|^64^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^64
65^|^65^|^65^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^65
66^|^66^|^66^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^66
67^|^67^|^67^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^67
68^|^68^|^68^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^68
69^|^69^|^69^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^69
70^|^70^|^70^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^70
71^|^71^|^71^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^71
72^|^72^|^72^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^72
73^|^73^|^73^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^73
74^|^74^|^74^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^74
75^|^75^|^75^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^75
76^|^76^|^76^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^76
77^|^77^|^77^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^77
78^|^78^|^78^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^78
79^|^79^|^79^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^79
80^|^80^|^80^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^80
81^|^81^|^81^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^81
82^|^82^|^82^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^82
83^|^83^|^83^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^83
84^|^84^|^84^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^84
85^|^85^|^85^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^85
86^|^86^|^86^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^86
87^|^87^|^87^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^87
88^|^88^|^88^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^88

