run_id^|^run_status^|^segment
90^|^FIN^|^C
91^|^FIN^|^C
92^|^FIN^|^C
93^|^FIN^|^C
94^|^FIN^|^C
95^|^FIN^|^C
96^|^FIN^|^C
97^|^FIN^|^C
98^|^FIN^|^C
99^|^FIN^|^C
100^|^FIN^|^C
101^|^FIN^|^C
102^|^FIN^|^C
103^|^FIN^|^C
104^|^FIN^|^C
105^|^FIN^|^C
106^|^FIN^|^C
107^|^FIN^|^C
108^|^FIN^|^C
109^|^FIN^|^C
110^|^FIN^|^C
111^|^FIN^|^C
112^|^FIN^|^C
113^|^FIN^|^C
114^|^FIN^|^C
115^|^FIN^|^C
116^|^FIN^|^C
117^|^FIN^|^C
118^|^FIN^|^C
119^|^FIN^|^C
120^|^FIN^|^C
121^|^FIN^|^C
122^|^FIN^|^C
123^|^FIN^|^C
124^|^FIN^|^C
125^|^FIN^|^C
126^|^FIN^|^C
127^|^FIN^|^C
128^|^FIN^|^C
129^|^FIN^|^C
130^|^FIN^|^C
131^|^FIN^|^C
132^|^FIN^|^C
133^|^FIN^|^C
134^|^FIN^|^C
135^|^FIN^|^C
136^|^FIN^|^C
137^|^FIN^|^C
138^|^FIN^|^C
139^|^FIN^|^C
140^|^FIN^|^C
141^|^FIN^|^C
142^|^FIN^|^C
143^|^FIN^|^C
144^|^FIN^|^C
145^|^FIN^|^C
146^|^FIN^|^C
147^|^FIN^|^C
148^|^FIN^|^C
149^|^FIN^|^C
150^|^FIN^|^C
151^|^FIN^|^C
152^|^FIN^|^C
153^|^FIN^|^C
154^|^FIN^|^C
155^|^FIN^|^C
156^|^FIN^|^C
157^|^FIN^|^C
158^|^FIN^|^C
159^|^FIN^|^C
160^|^FIN^|^C
161^|^FIN^|^C
162^|^FIN^|^C
163^|^FIN^|^C
164^|^FIN^|^C
165^|^FIN^|^C
166^|^FIN^|^C
167^|^FIN^|^C
168^|^FIN^|^C
169^|^FIN^|^C
170^|^FIN^|^C
171^|^FIN^|^C
172^|^FIN^|^C
173^|^FIN^|^C
174^|^FIN^|^C
175^|^FIN^|^C
176^|^FIN^|^C
177^|^FIN^|^C
178^|^FIN^|^C
179^|^FIN^|^C
180^|^FIN^|^C
181^|^FIN^|^C
182^|^FIN^|^C
183^|^FIN^|^C
184^|^FIN^|^C
185^|^FIN^|^C
186^|^FIN^|^C
187^|^FIN^|^C
188^|^FIN^|^C
189^|^FIN^|^C
190^|^FIN^|^C
191^|^FIN^|^C
192^|^FIN^|^C
193^|^FIN^|^C
194^|^FIN^|^C
195^|^FIN^|^C
196^|^FIN^|^C
197^|^FIN^|^C
198^|^FIN^|^C
199^|^FIN^|^C
200^|^FIN^|^C
201^|^FIN^|^C
202^|^FIN^|^C
203^|^FIN^|^C
204^|^FIN^|^C
205^|^FIN^|^C
206^|^FIN^|^C
207^|^FIN^|^C
208^|^FIN^|^C
209^|^FIN^|^C
210^|^FIN^|^C
211^|^FIN^|^C
212^|^FIN^|^C
213^|^FIN^|^C
214^|^FIN^|^C
215^|^FIN^|^C
216^|^FIN^|^C
217^|^FIN^|^C
218^|^FIN^|^C
219^|^FIN^|^C
220^|^FIN^|^C
221^|^FIN^|^C
222^|^FIN^|^C
223^|^FIN^|^C
224^|^FIN^|^C
225^|^FIN^|^C
226^|^FIN^|^C
227^|^FIN^|^C
228^|^FIN^|^C
229^|^FIN^|^C
230^|^FIN^|^C
231^|^FIN^|^C
232^|^FIN^|^C
233^|^FIN^|^C
234^|^FIN^|^C
235^|^FIN^|^C
236^|^FIN^|^C
237^|^FIN^|^C
238^|^FIN^|^C
239^|^FIN^|^C
240^|^FIN^|^C
241^|^FIN^|^C
242^|^FIN^|^C
243^|^FIN^|^C
244^|^FIN^|^C
245^|^FIN^|^C
246^|^FIN^|^C
247^|^FIN^|^C
248^|^FIN^|^C
249^|^FIN^|^C
250^|^FIN^|^C
251^|^FIN^|^C
252^|^FIN^|^C
253^|^FIN^|^C
254^|^FIN^|^C
255^|^FIN^|^C
256^|^FIN^|^C
257^|^FIN^|^C
258^|^FIN^|^C
259^|^FIN^|^C
260^|^FIN^|^C
261^|^FIN^|^C
262^|^FIN^|^C
263^|^FIN^|^C
264^|^FIN^|^C
265^|^FIN^|^C
266^|^FIN^|^C
267^|^FIN^|^C
268^|^FIN^|^C
269^|^FIN^|^C
270^|^FIN^|^C
271^|^FIN^|^C
272^|^FIN^|^C
273^|^FIN^|^C
274^|^FIN^|^C
275^|^FIN^|^C
276^|^FIN^|^C
277^|^FIN^|^C
278^|^FIN^|^C
279^|^FIN^|^C
280^|^FIN^|^C
281^|^FIN^|^C
282^|^FIN^|^C
283^|^FIN^|^C
284^|^FIN^|^C
285^|^FIN^|^C
286^|^FIN^|^C
287^|^FIN^|^C
288^|^FIN^|^C
289^|^FIN^|^C
290^|^FIN^|^C
291^|^FIN^|^C
292^|^FIN^|^C
293^|^FIN^|^C
294^|^FIN^|^C
295^|^FIN^|^C
296^|^FIN^|^C
297^|^FIN^|^C
298^|^FIN^|^C
299^|^FIN^|^C
300^|^FIN^|^C
301^|^FIN^|^C
302^|^FIN^|^C
303^|^FIN^|^C
304^|^FIN^|^C
305^|^FIN^|^C
306^|^FIN^|^C
307^|^FIN^|^C
308^|^FIN^|^C
309^|^FIN^|^C
310^|^FIN^|^C
311^|^FIN^|^C
312^|^FIN^|^C
313^|^FIN^|^C
314^|^FIN^|^C
315^|^FIN^|^C
316^|^FIN^|^C
317^|^FIN^|^C
318^|^FIN^|^C
319^|^FIN^|^C
320^|^FIN^|^C
321^|^FIN^|^C
322^|^FIN^|^C
323^|^FIN^|^C
324^|^FIN^|^C
325^|^FIN^|^C
326^|^FIN^|^C
327^|^FIN^|^C
328^|^FIN^|^C
329^|^FIN^|^C
330^|^FIN^|^C
331^|^FIN^|^C
332^|^FIN^|^C
333^|^FIN^|^C
334^|^FIN^|^C
335^|^FIN^|^C
336^|^FIN^|^C
337^|^FIN^|^C
338^|^FIN^|^C
339^|^FIN^|^C
340^|^FIN^|^C
341^|^FIN^|^C
342^|^FIN^|^C
343^|^FIN^|^C
344^|^FIN^|^C
345^|^FIN^|^C
346^|^FIN^|^C
347^|^FIN^|^C
348^|^FIN^|^C
349^|^FIN^|^C
350^|^FIN^|^C
351^|^FIN^|^C
352^|^FIN^|^C
353^|^FIN^|^C
354^|^FIN^|^C
355^|^FIN^|^C
356^|^FIN^|^C
357^|^FIN^|^C
358^|^FIN^|^C
359^|^FIN^|^C
360^|^FIN^|^C
361^|^FIN^|^C
362^|^FIN^|^C
363^|^FIN^|^C
364^|^FIN^|^C
365^|^FIN^|^C
366^|^FIN^|^C
367^|^FIN^|^C
368^|^FIN^|^C
369^|^FIN^|^C
370^|^FIN^|^C
371^|^FIN^|^C
372^|^FIN^|^C
373^|^FIN^|^C
374^|^FIN^|^C
375^|^FIN^|^C
376^|^FIN^|^C
377^|^FIN^|^C
378^|^FIN^|^C
379^|^FIN^|^C
380^|^FIN^|^C
381^|^FIN^|^C
382^|^FIN^|^C
383^|^FIN^|^C
384^|^FIN^|^C
385^|^FIN^|^C
386^|^FIN^|^C
387^|^FIN^|^C
388^|^FIN^|^C
389^|^FIN^|^C
390^|^FIN^|^C
391^|^FIN^|^C
392^|^FIN^|^C
393^|^FIN^|^C
394^|^FIN^|^C
395^|^FIN^|^C
396^|^FIN^|^C
397^|^FIN^|^C
398^|^FIN^|^C
399^|^FIN^|^C
400^|^FIN^|^C
401^|^FIN^|^C
402^|^FIN^|^C
403^|^FIN^|^C
404^|^FIN^|^C
405^|^FIN^|^C
406^|^FIN^|^C
407^|^FIN^|^C
408^|^FIN^|^C
409^|^FIN^|^C
410^|^FIN^|^C
411^|^FIN^|^C
412^|^FIN^|^C
413^|^FIN^|^C
414^|^FIN^|^C
415^|^FIN^|^C
416^|^FIN^|^C
417^|^FIN^|^C
418^|^FIN^|^C
419^|^FIN^|^C
420^|^FIN^|^C
421^|^FIN^|^C
422^|^FIN^|^C
423^|^FIN^|^C
424^|^FIN^|^C
425^|^FIN^|^C
426^|^FIN^|^C
427^|^FIN^|^C
428^|^FIN^|^C
429^|^FIN^|^C
430^|^FIN^|^C
431^|^FIN^|^C
432^|^FIN^|^C
433^|^FIN^|^C
434^|^FIN^|^C
435^|^FIN^|^C
436^|^FIN^|^C
437^|^FIN^|^C
438^|^FIN^|^C
439^|^FIN^|^C
440^|^FIN^|^C
441^|^FIN^|^C
442^|^FIN^|^C
443^|^FIN^|^C
444^|^FIN^|^C
445^|^FIN^|^C
446^|^FIN^|^C
447^|^FIN^|^C
448^|^FIN^|^C
449^|^FIN^|^C
450^|^FIN^|^C
451^|^FIN^|^C
452^|^FIN^|^C
453^|^FIN^|^C
454^|^FIN^|^C
455^|^FIN^|^C
456^|^FIN^|^C
457^|^FIN^|^C
458^|^FIN^|^C
459^|^FIN^|^C
460^|^FIN^|^C
461^|^FIN^|^C
462^|^FIN^|^C
463^|^FIN^|^C
464^|^FIN^|^C
465^|^FIN^|^C
466^|^FIN^|^C
467^|^FIN^|^C
468^|^FIN^|^C
469^|^FIN^|^C
470^|^FIN^|^C
471^|^FIN^|^C
472^|^FIN^|^C
473^|^FIN^|^C
474^|^FIN^|^C
475^|^FIN^|^C
476^|^FIN^|^C
477^|^FIN^|^C
478^|^FIN^|^C
479^|^FIN^|^C
480^|^FIN^|^C
481^|^FIN^|^C
482^|^FIN^|^C
483^|^FIN^|^C
484^|^FIN^|^C
485^|^FIN^|^C
486^|^FIN^|^C
487^|^FIN^|^C
488^|^FIN^|^C
489^|^FIN^|^C
490^|^FIN^|^C
491^|^FIN^|^C
492^|^FIN^|^C
493^|^FIN^|^C
494^|^FIN^|^C
495^|^FIN^|^C
496^|^FIN^|^C
497^|^FIN^|^C
498^|^FIN^|^C
