contactlist_id^|^contact_channel^|^last_contact_date^|^last_contact_state^|^number_of_contacts_last_month^|^customer_id^|^subscr_num^|^cust_num^|^aggr_level_cd
968208^|^SMS^|^20170319^|^Ordered^|^1^|^46189091^|^GSM^|^123123123^|^household
968209^|^SMS^|^20170404^|^Ordered^|^2^|^46189092^|^GSM^|^123123124^|^customer
968210^|^SMS^|^20170129^|^Ordered^|^2^|^46189093^|^GSM^|^123123125^|^household
968211^|^SMS^|^20170331^|^Ordered^|^1^|^46189094^|^GSM^|^123123126^|^household
968212^|^SMS^|^20170406^|^Ordered^|^2^|^46189095^|^GSM^|^123123127^|^subscriber
968213^|^SMS^|^20170327^|^Ordered^|^2^|^46189096^|^GSM^|^123123128^|^household
968214^|^SMS^|^20170405^|^Ordered^|^1^|^46189097^|^GSM^|^123123129^|^customer
968215^|^SMS^|^20170804^|^Ordered^|^2^|^46189098^|^GSM^|^123123130^|^subscriber
968216^|^SMS^|^20170417^|^Ordered^|^2^|^46189099^|^GSM^|^123123131^|^customer
968217^|^SMS^|^20170609^|^Ordered^|^2^|^46189100^|^GSM^|^123123132^|^customer
968218^|^SMS^|^20170125^|^Ordered^|^2^|^46189101^|^GSM^|^123123133^|^household
968219^|^SMS^|^20170623^|^Ordered^|^2^|^46189102^|^GSM^|^123123134^|^customer
968220^|^SMS^|^20170402^|^Ordered^|^2^|^46189103^|^GSM^|^123123135^|^subscriber
968221^|^SMS^|^20170524^|^Ordered^|^1^|^46189104^|^GSM^|^123123136^|^customer
968222^|^SMS^|^20170212^|^Ordered^|^2^|^46189105^|^GSM^|^123123137^|^customer
968223^|^SMS^|^20170117^|^Ordered^|^1^|^46189106^|^GSM^|^123123138^|^customer
968224^|^SMS^|^20170524^|^Ordered^|^1^|^46189107^|^GSM^|^123123139^|^customer
968225^|^SMS^|^20170331^|^Ordered^|^1^|^46189108^|^GSM^|^123123140^|^customer
968226^|^SMS^|^20170316^|^Ordered^|^2^|^46189109^|^GSM^|^123123141^|^subscriber
968227^|^SMS^|^20170107^|^Ordered^|^2^|^46189110^|^GSM^|^123123142^|^subscriber
968228^|^SMS^|^20170718^|^Ordered^|^2^|^46189111^|^GSM^|^123123143^|^household
968229^|^SMS^|^20170318^|^Ordered^|^2^|^46189112^|^GSM^|^123123144^|^household
968230^|^SMS^|^20170302^|^Ordered^|^2^|^46189113^|^GSM^|^123123145^|^household
968231^|^SMS^|^20170208^|^Ordered^|^1^|^46189114^|^GSM^|^123123146^|^customer
968232^|^SMS^|^20170827^|^Ordered^|^2^|^46189115^|^GSM^|^123123147^|^customer
968233^|^SMS^|^20170228^|^Ordered^|^2^|^46189116^|^GSM^|^123123148^|^household
968234^|^SMS^|^20170322^|^Ordered^|^2^|^46189117^|^GSM^|^123123149^|^household
968235^|^SMS^|^20170717^|^Ordered^|^1^|^46189118^|^GSM^|^123123150^|^household
968236^|^SMS^|^20170325^|^Ordered^|^2^|^46189119^|^GSM^|^123123151^|^subscriber
968237^|^SMS^|^20170825^|^Ordered^|^2^|^46189120^|^GSM^|^123123152^|^subscriber
968238^|^SMS^|^20170725^|^Ordered^|^2^|^46189121^|^GSM^|^123123153^|^subscriber
968239^|^SMS^|^20170609^|^Ordered^|^1^|^46189122^|^GSM^|^123123154^|^household
