name^|^mt_id^|^offer_id^|^contactlist_id^|^campcode^|^cellcode^|^target_id^|^target_start^|^target_end^|^extract_date
Dataupsell^|^47^|^11^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^22^|^20170830^|^20170623^|^20170205
Dataupsell^|^48^|^12^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^23^|^20161121^|^20170615^|^20170504
Dataupsell^|^49^|^13^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^24^|^20170103^|^20170908^|^20161220
Dataupsell^|^50^|^14^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^25^|^20170904^|^20171014^|^20161123
Dataupsell^|^51^|^15^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^26^|^20170927^|^20170107^|^20170413
Dataupsell^|^52^|^16^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^27^|^20170525^|^20170418^|^20170508
Dataupsell^|^53^|^17^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^28^|^20170620^|^20161213^|^20170806
Dataupsell^|^54^|^18^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^29^|^20171106^|^20170826^|^20170112
Dataupsell^|^55^|^19^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^30^|^20170814^|^20161206^|^20170319
Dataupsell^|^56^|^20^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^31^|^20170826^|^20170626^|^20170803
Dataupsell^|^57^|^21^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^32^|^20170323^|^20170227^|^20170322
Dataupsell^|^58^|^22^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^33^|^20170310^|^20161202^|^20170210
Dataupsell^|^59^|^23^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^34^|^20170207^|^20170827^|^20170116
Dataupsell^|^60^|^24^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^35^|^20170831^|^20170529^|^20170304
