name^|^time_period_cd^|^status_cnt_per_period^|^contactlist_id
Sold^|^100^|^34^|^2345
Sold^|^101^|^35^|^2345
Reached^|^102^|^36^|^2345
Notreached^|^103^|^37^|^2345
Booked^|^104^|^38^|^2345
Notreached^|^105^|^39^|^2345
Booked^|^106^|^40^|^2345
Sold^|^107^|^41^|^2345
Booked^|^108^|^42^|^2345
Reached^|^109^|^43^|^2345
Reached^|^110^|^44^|^2345
Sold^|^111^|^45^|^2345
Booked^|^112^|^46^|^2345
Sold^|^113^|^47^|^2345
Booked^|^114^|^48^|^2345
Booked^|^115^|^49^|^2345
Reached^|^116^|^50^|^2345
Booked^|^117^|^51^|^2345
Booked^|^118^|^52^|^2345
Sold^|^119^|^53^|^2345
Booked^|^120^|^54^|^2345
Sold^|^121^|^55^|^2345
Notreached^|^122^|^56^|^2345
Booked^|^123^|^57^|^2345
Booked^|^124^|^58^|^2345
Sold^|^125^|^59^|^2345
Booked^|^126^|^60^|^2345
Reached^|^127^|^61^|^2345
Notreached^|^128^|^62^|^2345
Notreached^|^129^|^63^|^2345
Sold^|^130^|^64^|^2345
Reached^|^131^|^65^|^2345
Booked^|^132^|^66^|^2345
Reached^|^133^|^67^|^2345
Sold^|^134^|^68^|^2345
Reached^|^135^|^69^|^2345
Reached^|^136^|^70^|^2345
Sold^|^137^|^71^|^2345
Reached^|^138^|^72^|^2345
Booked^|^139^|^73^|^2345
Booked^|^140^|^74^|^2345
Sold^|^141^|^75^|^2345
Sold^|^142^|^76^|^2345
Reached^|^143^|^77^|^2345
Sold^|^144^|^78^|^2345
Reached^|^145^|^79^|^2345
Sold^|^146^|^80^|^2345
Reached^|^147^|^81^|^2345
Sold^|^148^|^82^|^2345
Reached^|^149^|^83^|^2345
Sold^|^150^|^84^|^2345
Sold^|^151^|^85^|^2345
Reached^|^152^|^86^|^2345
Booked^|^153^|^87^|^2345
Booked^|^154^|^88^|^2345
Reached^|^155^|^89^|^2345
Reached^|^156^|^90^|^2345
Sold^|^157^|^91^|^2345
Booked^|^158^|^92^|^2345
Sold^|^159^|^93^|^2345
Sold^|^160^|^94^|^2345
Reached^|^161^|^95^|^2345
Sold^|^162^|^96^|^2345
Notreached^|^163^|^97^|^2345
Booked^|^164^|^98^|^2345
Reached^|^165^|^99^|^2345
Reached^|^166^|^100^|^2345
Notreached^|^167^|^101^|^2345
Sold^|^168^|^102^|^2345
Sold^|^169^|^103^|^2345
Booked^|^170^|^104^|^2345
Sold^|^171^|^105^|^2345
Notreached^|^172^|^106^|^2345
Sold^|^173^|^107^|^2345
Booked^|^174^|^108^|^2345
Reached^|^175^|^109^|^2345
Booked^|^176^|^110^|^2345
Reached^|^177^|^111^|^2345
Notreached^|^178^|^112^|^2345
Notreached^|^179^|^113^|^2345
Notreached^|^180^|^114^|^2345
Notreached^|^181^|^115^|^2345
Notreached^|^182^|^116^|^2345
Reached^|^183^|^117^|^2345
