contr_id^|^contr_valid_from_dt^|^contr_valid_until_dt^|^contr_subtype_cd^|^contr_ident_type_cd^|^contr_status_dt^|^contr_status_cd^|^contr_stat_rsn_cd^|^contr_sign_dt^|^contr_receive_dt^|^contr_orig_start_dt^|^contr_pl_expire_dt^|^contr_commit_per_start_dt^|^contr_next_subsidy_dt^|^contr_last_subsidy_dt^|^has_skeleton_contract^|^customer_id
100^|^20110916^|^20230827^|^CON^|^CNPCN^|^20170427^|^TerminatedUnkown^|^Statusreasoncode^|^20170511^|^20170504^|^20160816^|^20230815^|^20230507^|^20231105^|^20231010^|^1^|^46189091
101^|^20100803^|^20230914^|^CON^|^SKEL^|^20170602^|^TerminatedUnkown^|^Statusreasoncode^|^20170325^|^20170915^|^20161027^|^20221125^|^20230917^|^20230729^|^20231002^|^1^|^46189092
102^|^20100601^|^20230215^|^CON^|^CNPCN^|^20170826^|^Pending^|^Statusreasoncode^|^20171117^|^20161224^|^20150220^|^20230122^|^20230814^|^20230909^|^20230428^|^1^|^46189093
103^|^20110503^|^20230210^|^SUB^|^CNPCN^|^20170502^|^Activated^|^Statusreasoncode^|^20170427^|^20171019^|^20150406^|^20231119^|^20230915^|^20230428^|^20230418^|^1^|^46189094
104^|^20100410^|^20230613^|^CON^|^CNPCN^|^20170627^|^TerminatedUnkown^|^Statusreasoncode^|^20161128^|^20170812^|^20160803^|^20230906^|^20230102^|^20230623^|^20230423^|^1^|^46189095
105^|^20101105^|^20230706^|^CON^|^SKEL^|^20170331^|^Activated^|^Statusreasoncode^|^20170906^|^20161222^|^20150505^|^20230823^|^20230326^|^20230310^|^20230829^|^1^|^46189096
106^|^20100630^|^20230121^|^CON^|^CNPCN^|^20161128^|^Pending^|^Statusreasoncode^|^20161203^|^20170411^|^20150503^|^20230307^|^20230707^|^20221123^|^20230530^|^1^|^46189097
107^|^20110702^|^20230319^|^SUB^|^SKEL^|^20170123^|^Activated^|^Statusreasoncode^|^20170713^|^20161126^|^20160511^|^20230904^|^20230412^|^20230527^|^20221201^|^1^|^46189098
108^|^20101117^|^20230718^|^CON^|^CNPCN^|^20161125^|^Pending^|^Statusreasoncode^|^20170525^|^20170521^|^20150519^|^20230412^|^20230101^|^20230127^|^20221206^|^1^|^46189099
109^|^20101103^|^20230329^|^CON^|^CID^|^20170120^|^TerminatedUnkown^|^Statusreasoncode^|^20170409^|^20170731^|^20160626^|^20221215^|^20230228^|^20230826^|^20230209^|^1^|^46189100
110^|^20110301^|^20231112^|^CON^|^CNPCN^|^20170305^|^Pending^|^Statusreasoncode^|^20170108^|^20170629^|^20150828^|^20230915^|^20230616^|^20231003^|^20230124^|^1^|^46189101
111^|^20100510^|^20230923^|^SUB^|^SKEL^|^20171008^|^Pending^|^Statusreasoncode^|^20170110^|^20170809^|^20161020^|^20230823^|^20231103^|^20231005^|^20231026^|^1^|^46189102
