name^|^value^|^customer_id^|^subscr_id^|^household_id
IsEligibleForCable^|^1^|^82123461^|^47^|^423133
IsEligibleForCable^|^1^|^82123462^|^48^|^423134
IsEligibleForCable^|^1^|^82123463^|^49^|^423135
IsEligibleForCable^|^1^|^82123464^|^50^|^423136
IsEligibleForCable^|^1^|^82123465^|^51^|^423137
IsEligibleForCable^|^1^|^82123466^|^52^|^423138
IsEligibleForCable^|^1^|^82123467^|^53^|^423139
IsEligibleForCable^|^1^|^82123468^|^54^|^423140
IsEligibleForCable^|^1^|^82123469^|^55^|^423141
IsEligibleForCable^|^1^|^82123470^|^56^|^423142
IsEligibleForCable^|^1^|^82123471^|^57^|^423143
IsEligibleForCable^|^1^|^82123472^|^58^|^423144
IsEligibleForCable^|^1^|^82123473^|^59^|^423145
IsEligibleForCable^|^1^|^82123474^|^60^|^423146
IsEligibleForCable^|^1^|^82123475^|^61^|^423147
IsEligibleForCable^|^1^|^82123476^|^62^|^423148
IsEligibleForCable^|^1^|^82123477^|^63^|^423149
IsEligibleForCable^|^1^|^82123478^|^64^|^423150
IsEligibleForCable^|^1^|^82123479^|^65^|^423151
IsEligibleForCable^|^1^|^82123480^|^66^|^423152
IsEligibleForCable^|^1^|^82123481^|^67^|^423153
IsEligibleForCable^|^1^|^82123482^|^68^|^423154
IsEligibleForCable^|^1^|^82123483^|^69^|^423155
IsEligibleForCable^|^1^|^82123484^|^70^|^423156
IsEligibleForCable^|^1^|^82123485^|^71^|^423157
IsEligibleForCable^|^1^|^82123486^|^72^|^423158
IsEligibleForCable^|^1^|^82123487^|^73^|^423159
IsEligibleForCable^|^1^|^82123488^|^74^|^423160
IsEligibleForCable^|^1^|^82123489^|^75^|^423161
IsEligibleForCable^|^1^|^82123490^|^76^|^423162
IsEligibleForCable^|^1^|^82123491^|^77^|^423163
IsEligibleForCable^|^1^|^82123492^|^78^|^423164
IsEligibleForCable^|^1^|^82123493^|^79^|^423165
IsEligibleForCable^|^1^|^82123494^|^80^|^423166
IsEligibleForCable^|^1^|^82123495^|^81^|^423167
IsEligibleForCable^|^1^|^82123496^|^82^|^423168
IsEligibleForCable^|^1^|^82123497^|^83^|^423169
IsEligibleForCable^|^1^|^82123498^|^84^|^423170
IsEligibleForCable^|^1^|^82123499^|^85^|^423171
IsEligibleForCable^|^1^|^82123500^|^86^|^423172
IsEligibleForCable^|^1^|^82123501^|^87^|^423173
IsEligibleForCable^|^1^|^82123502^|^88^|^423174
IsEligibleForCable^|^1^|^82123503^|^89^|^423175
IsEligibleForCable^|^1^|^82123504^|^90^|^423176
IsEligibleForCable^|^1^|^82123505^|^91^|^423177
IsEligibleForCable^|^1^|^82123506^|^92^|^423178
IsEligibleForCable^|^1^|^82123507^|^93^|^423179
IsEligibleForCable^|^1^|^82123508^|^94^|^423180
IsEligibleForCable^|^1^|^82123509^|^95^|^423181
IsEligibleForCable^|^1^|^82123510^|^96^|^423182
IsEligibleForCable^|^1^|^82123511^|^97^|^423183
IsEligibleForCable^|^1^|^82123512^|^98^|^423184
IsEligibleForCable^|^1^|^82123513^|^99^|^423185
IsEligibleForCable^|^1^|^82123514^|^100^|^423186
IsEligibleForCable^|^1^|^82123515^|^101^|^423187
IsEligibleForCable^|^1^|^82123516^|^102^|^423188
IsEligibleForCable^|^1^|^82123517^|^103^|^423189
IsEligibleForCable^|^1^|^82123518^|^104^|^423190
IsEligibleForCable^|^1^|^82123519^|^105^|^423191
IsEligibleForCable^|^1^|^82123520^|^106^|^423192
IsEligibleForCable^|^1^|^82123521^|^107^|^423193
IsEligibleForCable^|^1^|^82123522^|^108^|^423194
IsEligibleForCable^|^1^|^82123523^|^109^|^423195
IsEligibleForCable^|^1^|^82123524^|^110^|^423196
IsEligibleForCable^|^1^|^82123525^|^111^|^423197
IsEligibleForCable^|^1^|^82123526^|^112^|^423198
IsEligibleForCable^|^1^|^82123527^|^113^|^423199
IsEligibleForCable^|^1^|^82123528^|^114^|^423200
IsEligibleForCable^|^1^|^82123529^|^115^|^423201
IsEligibleForCable^|^1^|^82123530^|^116^|^423202
IsEligibleForCable^|^1^|^82123531^|^117^|^423203
IsEligibleForCable^|^1^|^82123532^|^118^|^423204
IsEligibleForCable^|^1^|^82123533^|^119^|^423205
IsEligibleForCable^|^1^|^82123534^|^120^|^423206
IsEligibleForCable^|^1^|^82123535^|^121^|^423207
IsEligibleForCable^|^1^|^82123536^|^122^|^423208
IsEligibleForCable^|^1^|^82123537^|^123^|^423209
IsEligibleForCable^|^1^|^82123538^|^124^|^423210
IsEligibleForCable^|^1^|^82123539^|^125^|^423211
IsEligibleForCable^|^1^|^82123540^|^126^|^423212
IsEligibleForCable^|^1^|^82123541^|^127^|^423213
IsEligibleForCable^|^1^|^82123542^|^128^|^423214
IsEligibleForCable^|^1^|^82123543^|^129^|^423215
IsEligibleForCable^|^1^|^82123544^|^130^|^423216
IsEligibleForCable^|^1^|^82123545^|^131^|^423217
IsEligibleForCable^|^1^|^82123546^|^132^|^423218
IsEligibleForCable^|^1^|^82123547^|^133^|^423219
IsEligibleForCable^|^1^|^82123548^|^134^|^423220
IsEligibleForCable^|^1^|^82123549^|^135^|^423221
IsEligibleForCable^|^1^|^82123550^|^136^|^423222
IsEligibleForCable^|^1^|^82123551^|^137^|^423223
IsEligibleForCable^|^1^|^82123552^|^138^|^423224
IsEligibleForCable^|^1^|^82123553^|^139^|^423225
IsEligibleForCable^|^1^|^82123554^|^140^|^423226
IsEligibleForCable^|^1^|^82123555^|^141^|^423227
IsEligibleForCable^|^1^|^82123556^|^142^|^423228
IsEligibleForCable^|^1^|^82123557^|^143^|^423229
IsEligibleForCable^|^1^|^82123558^|^144^|^423230
IsEligibleForCable^|^1^|^82123559^|^145^|^423231
IsEligibleForCable^|^1^|^82123560^|^146^|^423232
IsEligibleForCable^|^1^|^82123561^|^147^|^423233
IsEligibleForCable^|^1^|^82123562^|^148^|^423234
IsEligibleForCable^|^1^|^82123563^|^149^|^423235
IsEligibleForCable^|^1^|^82123564^|^150^|^423236
IsEligibleForCable^|^1^|^82123565^|^151^|^423237
IsEligibleForCable^|^1^|^82123566^|^152^|^423238
IsEligibleForCable^|^1^|^82123567^|^153^|^423239
IsEligibleForCable^|^1^|^82123568^|^154^|^423240
IsEligibleForCable^|^1^|^82123569^|^155^|^423241
IsEligibleForCable^|^1^|^82123570^|^156^|^423242
IsEligibleForCable^|^1^|^82123571^|^157^|^423243
IsEligibleForCable^|^1^|^82123572^|^158^|^423244
