
usehold_id^|^hh_member_cnt^|^hh_mob_subscr_cnt^|^hh_dsl_subscr_cnt^|^hh_cab_subscr_cnt^|^building_id^|^hh_cust_id^|^hh_valid_from^|^hh_valid_to
47^|^47^|^47^|^47^|^47^|^47^|^47^|^20170921^|^20930522
48^|^48^|^48^|^48^|^48^|^48^|^48^|^20171204^|^20960819
49^|^49^|^49^|^49^|^49^|^49^|^49^|^20171029^|^20950128
50^|^50^|^50^|^50^|^50^|^50^|^50^|^20170527^|^20900816
51^|^51^|^51^|^51^|^51^|^51^|^51^|^20170701^|^20920130
52^|^52^|^52^|^52^|^52^|^52^|^52^|^20171229^|^20921202
53^|^53^|^53^|^53^|^53^|^53^|^53^|^20170819^|^20950219
54^|^54^|^54^|^54^|^54^|^54^|^54^|^20170224^|^20920227
55^|^55^|^55^|^55^|^55^|^55^|^55^|^20170606^|^20900519
56^|^56^|^56^|^56^|^56^|^56^|^56^|^20170428^|^20960915
57^|^57^|^57^|^57^|^57^|^57^|^57^|^20170430^|^20981223
58^|^58^|^58^|^58^|^58^|^58^|^58^|^20170125^|^20910726
59^|^59^|^59^|^59^|^59^|^59^|^59^|^20171215^|^20970326
60^|^60^|^60^|^60^|^60^|^60^|^60^|^20171109^|^20910401
61^|^61^|^61^|^61^|^61^|^61^|^61^|^20171223^|^20990510
62^|^62^|^62^|^62^|^62^|^62^|^62^|^20170526^|^20980203
63^|^63^|^63^|^63^|^63^|^63^|^63^|^20170807^|^20931014
64^|^64^|^64^|^64^|^64^|^64^|^64^|^20170611^|^20910616
65^|^65^|^65^|^65^|^65^|^65^|^65^|^20170930^|^20911009
66^|^66^|^66^|^66^|^66^|^66^|^66^|^20170910^|^20980622
67^|^67^|^67^|^67^|^67^|^67^|^67^|^20170709^|^20920924
68^|^68^|^68^|^68^|^68^|^68^|^68^|^20170816^|^20950307
69^|^69^|^69^|^69^|^69^|^69^|^69^|^20170726^|^20950925
70^|^70^|^70^|^70^|^70^|^70^|^70^|^20170312^|^20910227
71^|^71^|^71^|^71^|^71^|^71^|^71^|^20171119^|^20910128
72^|^72^|^72^|^72^|^72^|^72^|^72^|^20171129^|^20950820
73^|^73^|^73^|^73^|^73^|^73^|^73^|^20170816^|^20960831
74^|^74^|^74^|^74^|^74^|^74^|^74^|^20170729^|^20951206
75^|^75^|^75^|^75^|^75^|^75^|^75^|^20171207^|^20991016
76^|^76^|^76^|^76^|^76^|^76^|^76^|^20170806^|^20920124
77^|^77^|^77^|^77^|^77^|^77^|^77^|^20171123^|^20970405
78^|^78^|^78^|^78^|^78^|^78^|^78^|^20170222^|^20990704
79^|^79^|^79^|^79^|^79^|^79^|^79^|^20171117^|^20931029
80^|^80^|^80^|^80^|^80^|^80^|^80^|^20170620^|^20990720
81^|^81^|^81^|^81^|^81^|^81^|^81^|^20170331^|^20980821
82^|^82^|^82^|^82^|^82^|^82^|^82^|^20170306^|^20930709
83^|^83^|^83^|^83^|^83^|^83^|^83^|^20170605^|^20970912
84^|^84^|^84^|^84^|^84^|^84^|^84^|^20170302^|^20931120
85^|^85^|^85^|^85^|^85^|^85^|^85^|^20170525^|^20990527
86^|^86^|^86^|^86^|^86^|^86^|^86^|^20170921^|^20970617
87^|^87^|^87^|^87^|^87^|^87^|^87^|^20170530^|^20980124
88^|^88^|^88^|^88^|^88^|^88^|^88^|^20171113^|^20901103
"HOUSEHOLD_20181127010215.csv" [noeol] 1001L, 62103C
