soc^|^target_tariff_option^|^effective_date^|^feature_code^|^tier_level_code^|^business_category^|^dwh_source_ind^|^market_code^|^dwh_valid_from^|^dwh_valid_until^|^rate_eu^|^suspension_amt_eu^|^expiration_date^|^eu_bpn_rate^|^sys_creation_date^|^sys_creation_time^|^sys_update_date^|^sys_update_time^|^operator_id^|^application_id^|^dwh_status^|^dwh_lfd_nr
VDBASE01^|^ALLTO^|^20180705^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180203^|^20201106^|^47^|^17^|^20181006^|^27^|^20181115^|^45^|^20180704^|^97^|^57^|^MMC^|^AC^|^49
VDBASE01^|^ALLTO^|^20180622^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180224^|^20200714^|^48^|^18^|^20180717^|^28^|^20181114^|^46^|^20180514^|^98^|^58^|^MMC^|^AC^|^50
VDBASE01^|^ALLTO^|^20180322^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180613^|^20200603^|^49^|^19^|^20180824^|^29^|^20180203^|^47^|^20180525^|^99^|^59^|^MMC^|^AC^|^51
VDBASE01^|^ALLTO^|^20180813^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180120^|^20200527^|^50^|^20^|^20181117^|^30^|^20180731^|^48^|^20180728^|^100^|^60^|^MMC^|^AC^|^52
VDBASE01^|^ALLTO^|^20181225^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180808^|^20200524^|^51^|^21^|^20180416^|^31^|^20180914^|^49^|^20180506^|^101^|^61^|^MMC^|^AC^|^53
VDBASE01^|^ALLTO^|^20181108^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180529^|^20200908^|^52^|^22^|^20180608^|^32^|^20180607^|^50^|^20180206^|^102^|^62^|^MMC^|^AC^|^54
VDBASE01^|^ALLTO^|^20180315^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181024^|^20200512^|^53^|^23^|^20180118^|^33^|^20180725^|^51^|^20180616^|^103^|^63^|^MMC^|^AC^|^55
VDBASE01^|^ALLTO^|^20180731^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181218^|^20200920^|^54^|^24^|^20180618^|^34^|^20180604^|^52^|^20180630^|^104^|^64^|^MMC^|^AC^|^56
VDBASE01^|^ALLTO^|^20180223^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181112^|^20201113^|^55^|^25^|^20181013^|^35^|^20181025^|^53^|^20180318^|^105^|^65^|^MMC^|^AC^|^57
VDBASE01^|^ALLTO^|^20181017^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180706^|^20200514^|^56^|^26^|^20181116^|^36^|^20180717^|^54^|^20180321^|^106^|^66^|^MMC^|^AC^|^58
VDBASE01^|^ALLTO^|^20181016^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180915^|^20200501^|^57^|^27^|^20180723^|^37^|^20180107^|^55^|^20180618^|^107^|^67^|^MMC^|^AC^|^59
VDBASE01^|^ALLTO^|^20180204^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181214^|^20201122^|^58^|^28^|^20180928^|^38^|^20180712^|^56^|^20180402^|^108^|^68^|^MMC^|^AC^|^60
VDBASE01^|^ALLTO^|^20180325^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181206^|^20201110^|^59^|^29^|^20180314^|^39^|^20180521^|^57^|^20180321^|^109^|^69^|^MMC^|^AC^|^61
VDBASE01^|^ALLTO^|^20181112^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180626^|^20200628^|^60^|^30^|^20180830^|^40^|^20180818^|^58^|^20180104^|^110^|^70^|^MMC^|^AC^|^62
VDBASE01^|^ALLTO^|^20181219^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180906^|^20201209^|^61^|^31^|^20180610^|^41^|^20181108^|^59^|^20180603^|^111^|^71^|^MMC^|^AC^|^63
VDBASE01^|^ALLTO^|^20180921^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180205^|^20201116^|^62^|^32^|^20181006^|^42^|^20180608^|^60^|^20180812^|^112^|^72^|^MMC^|^AC^|^64
VDBASE01^|^ALLTO^|^20181114^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180526^|^20200506^|^63^|^33^|^20180531^|^43^|^20180610^|^61^|^20181101^|^113^|^73^|^MMC^|^AC^|^65
VDBASE01^|^ALLTO^|^20180504^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180316^|^20200816^|^64^|^34^|^20180923^|^44^|^20180127^|^62^|^20180614^|^114^|^74^|^MMC^|^AC^|^66
VDBASE01^|^ALLTO^|^20180811^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181118^|^20200512^|^65^|^35^|^20180321^|^45^|^20180502^|^63^|^20181228^|^115^|^75^|^MMC^|^AC^|^67
VDBASE01^|^ALLTO^|^20180320^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181012^|^20200914^|^66^|^36^|^20180510^|^46^|^20180713^|^64^|^20180726^|^116^|^76^|^MMC^|^AC^|^68
VDBASE01^|^ALLTO^|^20180522^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180423^|^20200616^|^67^|^37^|^20180604^|^47^|^20180730^|^65^|^20180523^|^117^|^77^|^MMC^|^AC^|^69
VDBASE01^|^ALLTO^|^20180513^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180913^|^20200904^|^68^|^38^|^20180716^|^48^|^20181129^|^66^|^20180816^|^118^|^78^|^MMC^|^AC^|^70
VDBASE01^|^ALLTO^|^20180112^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180901^|^20200727^|^69^|^39^|^20181008^|^49^|^20180815^|^67^|^20180413^|^119^|^79^|^MMC^|^AC^|^71
VDBASE01^|^ALLTO^|^20180827^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180606^|^20201025^|^70^|^40^|^20181216^|^50^|^20181118^|^68^|^20181011^|^120^|^80^|^MMC^|^AC^|^72
VDBASE01^|^ALLTO^|^20180816^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181006^|^20201113^|^71^|^41^|^20181108^|^51^|^20180628^|^69^|^20180206^|^121^|^81^|^MMC^|^AC^|^73
VDBASE01^|^ALLTO^|^20180622^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180326^|^20200524^|^72^|^42^|^20181112^|^52^|^20180204^|^70^|^20180603^|^122^|^82^|^MMC^|^AC^|^74
VDBASE01^|^ALLTO^|^20180304^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180602^|^20200819^|^73^|^43^|^20181006^|^53^|^20180322^|^71^|^20180107^|^123^|^83^|^MMC^|^AC^|^75
VDBASE01^|^ALLTO^|^20181027^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180612^|^20200811^|^74^|^44^|^20180715^|^54^|^20180117^|^72^|^20180811^|^124^|^84^|^MMC^|^AC^|^76
VDBASE01^|^ALLTO^|^20181016^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181018^|^20200602^|^75^|^45^|^20180320^|^55^|^20180508^|^73^|^20180914^|^125^|^85^|^MMC^|^AC^|^77
VDBASE01^|^ALLTO^|^20180718^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181118^|^20200721^|^76^|^46^|^20180513^|^56^|^20180323^|^74^|^20180518^|^126^|^86^|^MMC^|^AC^|^78
VDBASE01^|^ALLTO^|^20180509^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180222^|^20200619^|^77^|^47^|^20181130^|^57^|^20180503^|^75^|^20180729^|^127^|^87^|^MMC^|^AC^|^79
VDBASE01^|^ALLTO^|^20180211^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180903^|^20200731^|^78^|^48^|^20180517^|^58^|^20180527^|^76^|^20180918^|^128^|^88^|^MMC^|^AC^|^80
VDBASE01^|^ALLTO^|^20181214^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180824^|^20201222^|^79^|^49^|^20180818^|^59^|^20180624^|^77^|^20180414^|^129^|^89^|^MMC^|^AC^|^81
VDBASE01^|^ALLTO^|^20180127^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180425^|^20200505^|^80^|^50^|^20180820^|^60^|^20180612^|^78^|^20181130^|^130^|^90^|^MMC^|^AC^|^82
VDBASE01^|^ALLTO^|^20180302^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180715^|^20201217^|^81^|^51^|^20180308^|^61^|^20181112^|^79^|^20180111^|^131^|^91^|^MMC^|^AC^|^83
