soc^|^market_code^|^discount^|^creation_date^|^discount_type^|^is_flat_discount^|^rate_source^|^to_id
47^|^MMC^|^-4.805^|^20130701^|^GTY^|^1^|^DWH^|^213
48^|^MMC^|^-4.705^|^20130201^|^GTY^|^1^|^DWH^|^214
49^|^MMC^|^-4.805^|^20130717^|^GTY^|^0^|^DWH^|^215
50^|^MMC^|^-4.805^|^20130412^|^GTY^|^0^|^DWH^|^216
51^|^MMC^|^-4.805^|^20131204^|^GTY^|^1^|^DWH^|^217
52^|^MMC^|^-4.705^|^20130521^|^GTY^|^0^|^DWH^|^218
53^|^MMC^|^-4.805^|^20130106^|^GTY^|^0^|^DWH^|^219
54^|^MMC^|^-4.805^|^20130429^|^GTY^|^0^|^DWH^|^220
55^|^MMC^|^-4.705^|^20130726^|^GTY^|^1^|^DWH^|^221
56^|^MMC^|^-4.705^|^20131109^|^GTY^|^1^|^DWH^|^222
57^|^MMC^|^-4.705^|^20131007^|^GTY^|^1^|^DWH^|^223
58^|^MMC^|^-4.705^|^20131015^|^GTY^|^1^|^DWH^|^224
59^|^MMC^|^-4.705^|^20130428^|^GTY^|^0^|^DWH^|^225
60^|^MMC^|^-4.705^|^20130427^|^GTY^|^0^|^DWH^|^226
61^|^MMC^|^-4.705^|^20130403^|^GTY^|^0^|^DWH^|^227
62^|^MMC^|^-4.805^|^20131112^|^GTY^|^1^|^DWH^|^228
63^|^MMC^|^-4.705^|^20130118^|^GTY^|^0^|^DWH^|^229
64^|^MMC^|^-4.805^|^20130516^|^GTY^|^1^|^DWH^|^230
65^|^MMC^|^-4.705^|^20130826^|^GTY^|^0^|^DWH^|^231
66^|^MMC^|^-4.705^|^20131129^|^GTY^|^0^|^DWH^|^232
67^|^MMC^|^-4.705^|^20130928^|^GTY^|^0^|^DWH^|^233
68^|^MMC^|^-4.705^|^20130520^|^GTY^|^1^|^DWH^|^234
69^|^MMC^|^-4.705^|^20130325^|^GTY^|^0^|^DWH^|^235
70^|^MMC^|^-4.805^|^20130719^|^GTY^|^1^|^DWH^|^236
71^|^MMC^|^-4.705^|^20130720^|^GTY^|^1^|^DWH^|^237
72^|^MMC^|^-4.805^|^20130626^|^GTY^|^0^|^DWH^|^238
73^|^MMC^|^-4.805^|^20130811^|^GTY^|^0^|^DWH^|^239
74^|^MMC^|^-4.805^|^20130123^|^GTY^|^1^|^DWH^|^240
75^|^MMC^|^-4.805^|^20130910^|^GTY^|^0^|^DWH^|^241
76^|^MMC^|^-4.805^|^20130508^|^GTY^|^1^|^DWH^|^242
77^|^MMC^|^-4.805^|^20130428^|^GTY^|^0^|^DWH^|^243
78^|^MMC^|^-4.705^|^20131007^|^GTY^|^0^|^DWH^|^244
79^|^MMC^|^-4.805^|^20130721^|^GTY^|^1^|^DWH^|^245
80^|^MMC^|^-4.805^|^20131115^|^GTY^|^1^|^DWH^|^246
81^|^MMC^|^-4.805^|^20131219^|^GTY^|^1^|^DWH^|^247
82^|^MMC^|^-4.705^|^20131219^|^GTY^|^1^|^DWH^|^248
83^|^MMC^|^-4.705^|^20131119^|^GTY^|^1^|^DWH^|^249
84^|^MMC^|^-4.705^|^20130427^|^GTY^|^0^|^DWH^|^250
85^|^MMC^|^-4.805^|^20130117^|^GTY^|^1^|^DWH^|^251
86^|^MMC^|^-4.705^|^20130716^|^GTY^|^0^|^DWH^|^252
87^|^MMC^|^-4.805^|^20130210^|^GTY^|^1^|^DWH^|^253
88^|^MMC^|^-4.705^|^20130529^|^GTY^|^0^|^DWH^|^254
89^|^MMC^|^-4.805^|^20130918^|^GTY^|^1^|^DWH^|^255
90^|^MMC^|^-4.805^|^20131123^|^GTY^|^1^|^DWH^|^256
91^|^MMC^|^-4.805^|^20131022^|^GTY^|^1^|^DWH^|^257
92^|^MMC^|^-4.705^|^20130309^|^GTY^|^1^|^DWH^|^258
