product_id^|^ao_id^|^ao_subscr_id^|^ao_type^|^ao_src_sys_id^|^ao_name^|^ao_force_add_cd^|^mo_name^|^mo_effc_dt^|^mo_exp_dt^|^mo_status_dt^|^mo_status^|^mo_stat_reas_cd^|^business_line^|^so_id^|^so_nr^|^so_name^|^so_effec_date^|^so_exp_date^|^so_subtype_cd^|^so_conv_status_dt^|^so_conv_status^|^so_stat_reas_cd^|^so_lob^|^so_servv_type^|^so_bundle_cat_cd^|^so_lvl_cd^|^so_campg_relv_ind^|^so_min_contr_dur^|^so_subscr_only_ind^|^to_id^|^to_nr^|^to_name^|^to_effec_dt^|^to_exp_dt^|^to_conv_status_dt^|^to_conv_status^|^to_st_reason_cide^|^to_business_line^|^to_tariff_fam^|^to_credit_type_cd^|^to_skel_restrict_ind^|^to_card_type_cd^|^subscr_id
100^|^8968208^|^90^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^f^|^mobile^|^76^|^c^|^0^|^dc^|^47
101^|^8968209^|^91^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^a^|^cable^|^77^|^c^|^0^|^dc^|^48
102^|^8968210^|^92^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^e^|^cable^|^78^|^p^|^0^|^dc^|^49
103^|^8968211^|^93^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^x^|^mobile^|^79^|^c^|^0^|^dc^|^50
104^|^8968212^|^94^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^e^|^cable^|^80^|^c^|^0^|^dc^|^51
105^|^8968213^|^95^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^n^|^mobile^|^81^|^c^|^0^|^dc^|^52
106^|^8968214^|^96^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^x^|^cable^|^82^|^c^|^0^|^dc^|^53
107^|^8968215^|^97^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^a^|^wireline^|^83^|^p^|^0^|^dc^|^54
108^|^8968216^|^98^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^a^|^cable^|^84^|^c^|^0^|^dc^|^55
109^|^8968217^|^99^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^n^|^wireline^|^85^|^p^|^0^|^dc^|^56
