sc_id^|^sc_valid_from_date^|^sc_valid_until_date^|^sc_num^|^sc_name^|^sc_orig_num^|^sc_eff_date^|^sc_expire_date^|^sc_ident_type_cd^|^sc_ident1_num^|^sc_ident2_num^|^sc_ident3_num^|^sc_cust_rel_role_cd^|^sc_classification
47^|^20170601^|^20970909^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180514^|^20190519^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
48^|^20150110^|^20950327^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180606^|^20190724^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
49^|^20160601^|^20990904^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180210^|^20190204^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
50^|^20110824^|^20920927^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180424^|^20191106^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
51^|^20161118^|^20930610^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180907^|^20190914^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
52^|^20140131^|^20981104^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180803^|^20190510^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
53^|^20150217^|^20950923^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180628^|^20191020^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
54^|^20120809^|^20901210^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181024^|^20190605^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
55^|^20140127^|^20911202^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181224^|^20190415^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
56^|^20110502^|^20940506^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180504^|^20190809^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
57^|^20150731^|^20940412^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180809^|^20191215^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
58^|^20150907^|^20930621^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181012^|^20190605^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
59^|^20150717^|^20970913^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181228^|^20190831^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
