sc_id^|^sc_valid_from_date^|^sc_valid_until_date^|^sc_num^|^sc_name^|^sc_orig_num^|^sc_eff_date^|^sc_expire_date^|^sc_ident_type_cd^|^sc_ident1_num^|^sc_ident2_num^|^sc_ident3_num^|^sc_cust_rel_role_cd
53^|^20130212^|^20990829^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180327^|^20190225^|^SCI^|^1694498^|^1694498^|^1694498^|^D
54^|^20161227^|^20931208^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180128^|^20190120^|^SCI^|^1694498^|^1694498^|^1694498^|^D
55^|^20101227^|^20910317^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180906^|^20190119^|^SCI^|^1694498^|^1694498^|^1694498^|^D
56^|^20131109^|^20911225^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180723^|^20190617^|^SCI^|^1694498^|^1694498^|^1694498^|^D
57^|^20170327^|^20950524^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180729^|^20190801^|^SCI^|^1694498^|^1694498^|^1694498^|^D
58^|^20141107^|^20930614^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180319^|^20190924^|^SCI^|^1694498^|^1694498^|^1694498^|^D
59^|^20140110^|^20990827^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180823^|^20191214^|^SCI^|^1694498^|^1694498^|^1694498^|^D
60^|^20110630^|^20910708^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180211^|^20190831^|^SCI^|^1694498^|^1694498^|^1694498^|^D
61^|^20170410^|^20911211^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180714^|^20191015^|^SCI^|^1694498^|^1694498^|^1694498^|^D
62^|^20120226^|^20961005^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180701^|^20190306^|^SCI^|^1694498^|^1694498^|^1694498^|^D
63^|^20110806^|^20970310^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180707^|^20191202^|^SCI^|^1694498^|^1694498^|^1694498^|^D
64^|^20110714^|^20951107^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180331^|^20190420^|^SCI^|^1694498^|^1694498^|^1694498^|^D
65^|^20110120^|^20920824^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180502^|^20190408^|^SCI^|^1694498^|^1694498^|^1694498^|^D
66^|^20130730^|^20981127^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181013^|^20191031^|^SCI^|^1694498^|^1694498^|^1694498^|^D
67^|^20110203^|^20920425^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181015^|^20191212^|^SCI^|^1694498^|^1694498^|^1694498^|^D
68^|^20140409^|^20910521^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180722^|^20191006^|^SCI^|^1694498^|^1694498^|^1694498^|^D
69^|^20131010^|^20960512^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180324^|^20191009^|^SCI^|^1694498^|^1694498^|^1694498^|^D
70^|^20130127^|^20970318^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180501^|^20190222^|^SCI^|^1694498^|^1694498^|^1694498^|^D
71^|^20140730^|^20921222^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180920^|^20190425^|^SCI^|^1694498^|^1694498^|^1694498^|^D
72^|^20170729^|^20970720^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180317^|^20191204^|^SCI^|^1694498^|^1694498^|^1694498^|^D
73^|^20110903^|^20970615^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180701^|^20190801^|^SCI^|^1694498^|^1694498^|^1694498^|^D
74^|^20151021^|^20950913^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180305^|^20190524^|^SCI^|^1694498^|^1694498^|^1694498^|^D
75^|^20120726^|^20980628^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181005^|^20190703^|^SCI^|^1694498^|^1694498^|^1694498^|^D
76^|^20120518^|^20921102^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180909^|^20190211^|^SCI^|^1694498^|^1694498^|^1694498^|^D
77^|^20150725^|^20941117^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181218^|^20190428^|^SCI^|^1694498^|^1694498^|^1694498^|^D
78^|^20140119^|^20920629^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180407^|^20191201^|^SCI^|^1694498^|^1694498^|^1694498^|^D
79^|^20120210^|^20950130^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180526^|^20191017^|^SCI^|^1694498^|^1694498^|^1694498^|^D
80^|^20150405^|^20930216^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180226^|^20190118^|^SCI^|^1694498^|^1694498^|^1694498^|^D
