name^|^value^|^source_system^|^scoring_id^|^customer_id^|^scoring_grp^|^subscr_id^|^household_id
churn_score^|^47^|^BDP^|^47^|^82123461^|^47^|^32837416^|^47
churn_score^|^48^|^BDP^|^48^|^82123462^|^48^|^32837417^|^48
churn_score^|^49^|^BDP^|^49^|^82123463^|^49^|^32837418^|^49
churn_score^|^50^|^BDP^|^50^|^82123464^|^50^|^32837419^|^50
churn_score^|^51^|^BDP^|^51^|^82123465^|^51^|^32837420^|^51
churn_score^|^52^|^BDP^|^52^|^82123466^|^52^|^32837421^|^52
churn_score^|^53^|^BDP^|^53^|^82123467^|^53^|^32837422^|^53
churn_score^|^54^|^BDP^|^54^|^82123468^|^54^|^32837423^|^54
churn_score^|^55^|^BDP^|^55^|^82123469^|^55^|^32837424^|^55
churn_score^|^56^|^BDP^|^56^|^82123470^|^56^|^32837425^|^56
churn_score^|^57^|^BDP^|^57^|^82123471^|^57^|^32837426^|^57
churn_score^|^58^|^BDP^|^58^|^82123472^|^58^|^32837427^|^58
churn_score^|^59^|^BDP^|^59^|^82123473^|^59^|^32837428^|^59
churn_score^|^60^|^BDP^|^60^|^82123474^|^60^|^32837429^|^60
churn_score^|^61^|^BDP^|^61^|^82123475^|^61^|^32837430^|^61
churn_score^|^62^|^BDP^|^62^|^82123476^|^62^|^32837431^|^62
churn_score^|^63^|^BDP^|^63^|^82123477^|^63^|^32837432^|^63
churn_score^|^64^|^BDP^|^64^|^82123478^|^64^|^32837433^|^64
churn_score^|^65^|^BDP^|^65^|^82123479^|^65^|^32837434^|^65
churn_score^|^66^|^BDP^|^66^|^82123480^|^66^|^32837435^|^66
churn_score^|^67^|^BDP^|^67^|^82123481^|^67^|^32837436^|^67
churn_score^|^68^|^BDP^|^68^|^82123482^|^68^|^32837437^|^68
churn_score^|^69^|^BDP^|^69^|^82123483^|^69^|^32837438^|^69
churn_score^|^70^|^BDP^|^70^|^82123484^|^70^|^32837439^|^70
churn_score^|^71^|^BDP^|^71^|^82123485^|^71^|^32837440^|^71
churn_score^|^72^|^BDP^|^72^|^82123486^|^72^|^32837441^|^72
churn_score^|^73^|^BDP^|^73^|^82123487^|^73^|^32837442^|^73
churn_score^|^74^|^BDP^|^74^|^82123488^|^74^|^32837443^|^74
churn_score^|^75^|^BDP^|^75^|^82123489^|^75^|^32837444^|^75
churn_score^|^76^|^BDP^|^76^|^82123490^|^76^|^32837445^|^76
churn_score^|^77^|^BDP^|^77^|^82123491^|^77^|^32837446^|^77
churn_score^|^78^|^BDP^|^78^|^82123492^|^78^|^32837447^|^78
churn_score^|^79^|^BDP^|^79^|^82123493^|^79^|^32837448^|^79
churn_score^|^80^|^BDP^|^80^|^82123494^|^80^|^32837449^|^80
churn_score^|^81^|^BDP^|^81^|^82123495^|^81^|^32837450^|^81
churn_score^|^82^|^BDP^|^82^|^82123496^|^82^|^32837451^|^82
churn_score^|^83^|^BDP^|^83^|^82123497^|^83^|^32837452^|^83
churn_score^|^84^|^BDP^|^84^|^82123498^|^84^|^32837453^|^84
churn_score^|^85^|^BDP^|^85^|^82123499^|^85^|^32837454^|^85
churn_score^|^86^|^BDP^|^86^|^82123500^|^86^|^32837455^|^86
churn_score^|^87^|^BDP^|^87^|^82123501^|^87^|^32837456^|^87
churn_score^|^88^|^BDP^|^88^|^82123502^|^88^|^32837457^|^88
