
fferid^|^to_h_validfromdt^|^to_h_validuntildt^|^to_h_offernr^|^to_h_offername^|^to_h_blvlid^|^to_h_blvl1id^|^to_h_blvl1nr^|^to_h_blvl1name^|^to_h_blvl1desc^|^to_h_blvl2id^|^to_h_blvl2nr^|^to_h_blvl2name^|^to_h_blvl2desc^|^to_h_blvl3id^|^to_h_blvl3nr^|^to_h_blvl3name^|^to_h_blvl3desc^|^to_h_blvl4id^|^to_h_blvl4nr^|^to_h_blvl4name^|^to_h_blvl4desc^|^to_h_blvl5id^|^to_h_blvl5nr^|^to_h_blvl5name^|^to_h_blvl5desc^|^to_h_blvl6id^|^to_h_blvl6nr^|^to_h_blvl6name^|^to_h_blvl6desc^|^to_h_blvl7id^|^to_h_blvl7nr^|^to_h_blvl7name^|^to_h_blvl7desc^|^to_h_blvl8id^|^to_h_blvl8nr^|^to_h_blvl8name^|^to_h_blvl8desc^|^to_h_blvl9id^|^to_h_blvl9nr^|^to_h_blvl9name^|^to_h_blvl9desc
47^|^20130509^|^20970422^|^^|^VFRedS(Allnet)Smartphone^|^47^|^47^|^3498^|^Total^|^Total^|^47^|^1498^|^Contract^|^Contract^|^47^|^1520^|^VoiceFlat^|^VoiceFlat^|^47^|^TARI_6851^|^VFRED^|^VFRED^|^47^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^47^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^47^|^^|^^|^^|^47^|^^|^^|^^|^47^|^^|^^|^0
48^|^20130901^|^20970526^|^^|^VFRedS(Allnet)Smartphone^|^48^|^48^|^3498^|^Total^|^Total^|^48^|^1498^|^Contract^|^Contract^|^48^|^1520^|^VoiceFlat^|^VoiceFlat^|^48^|^TARI_6851^|^VFRED^|^VFRED^|^48^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^48^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^48^|^^|^^|^^|^48^|^^|^^|^^|^48^|^^|^^|^0
49^|^20130728^|^20920106^|^^|^VFRedS(Allnet)Smartphone^|^49^|^49^|^3498^|^Total^|^Total^|^49^|^1498^|^Contract^|^Contract^|^49^|^1520^|^VoiceFlat^|^VoiceFlat^|^49^|^TARI_6851^|^VFRED^|^VFRED^|^49^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^49^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^49^|^^|^^|^^|^49^|^^|^^|^^|^49^|^^|^^|^0
50^|^20130824^|^20980115^|^^|^VFRedS(Allnet)Smartphone^|^50^|^50^|^3498^|^Total^|^Total^|^50^|^1498^|^Contract^|^Contract^|^50^|^1520^|^VoiceFlat^|^VoiceFlat^|^50^|^TARI_6851^|^VFRED^|^VFRED^|^50^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^50^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^50^|^^|^^|^^|^50^|^^|^^|^^|^50^|^^|^^|^0
51^|^20130622^|^20930608^|^^|^VFRedS(Allnet)Smartphone^|^51^|^51^|^3498^|^Total^|^Total^|^51^|^1498^|^Contract^|^Contract^|^51^|^1520^|^VoiceFlat^|^VoiceFlat^|^51^|^TARI_6851^|^VFRED^|^VFRED^|^51^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^51^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^51^|^^|^^|^^|^51^|^^|^^|^^|^51^|^^|^^|^0
52^|^20131011^|^20931010^|^^|^VFRedS(Allnet)Smartphone^|^52^|^52^|^3498^|^Total^|^Total^|^52^|^1498^|^Contract^|^Contract^|^52^|^1520^|^VoiceFlat^|^VoiceFlat^|^52^|^TARI_6851^|^VFRED^|^VFRED^|^52^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^52^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^52^|^^|^^|^^|^52^|^^|^^|^^|^52^|^^|^^|^0
53^|^20131209^|^20901212^|^^|^VFRedS(Allnet)Smartphone^|^53^|^53^|^3498^|^Total^|^Total^|^53^|^1498^|^Contract^|^Contract^|^53^|^1520^|^VoiceFlat^|^VoiceFlat^|^53^|^TARI_6851^|^VFRED^|^VFRED^|^53^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^53^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^53^|^^|^^|^^|^53^|^^|^^|^^|^53^|^^|^^|^0
54^|^20130311^|^20961228^|^^|^VFRedS(Allnet)Smartphone^|^54^|^54^|^3498^|^Total^|^Total^|^54^|^1498^|^Contract^|^Contract^|^54^|^1520^|^VoiceFlat^|^VoiceFlat^|^54^|^TARI_6851^|^VFRED^|^VFRED^|^54^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^54^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^54^|^^|^^|^^|^54^|^^|^^|^^|^54^|^^|^^|^0
55^|^20130425^|^20990923^|^^|^VFRedS(Allnet)Smartphone^|^55^|^55^|^3498^|^Total^|^Total^|^55^|^1498^|^Contract^|^Contract^|^55^|^1520^|^VoiceFlat^|^VoiceFlat^|^55^|^TARI_6851^|^VFRED^|^VFRED^|^55^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^55^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^55^|^^|^^|^^|^55^|^^|^^|^^|^55^|^^|^^|^0
56^|^20130711^|^20991021^|^^|^VFRedS(Allnet)Smartphone^|^56^|^56^|^3498^|^Total^|^Total^|^56^|^1498^|^Contract^|^Contract^|^56^|^1520^|^VoiceFlat^|^VoiceFlat^|^56^|^TARI_6851^|^VFRED^|^VFRED^|^56^|^TARI_6977^|^VFREDS(Allnet)^|^VFREDS(Allnet)^|^56^|^TARI_6978^|^VFREDS(Allnet)Smartphone^|^VFREDS(Allnet)^|^56^|^^|^^|^^|^56^|^^|^^|^^|^56^|^^|^^|^0
