contactlist_id^|^contact_channel^|^last_contact_date^|^last_contact_state^|^number_of_contacts_last_month^|^customer_id^|^subscr_num^|^cust_num^|^aggr_level_cd
968208^|^SMS^|^20170717^|^Ordered^|^1^|^89284561^|^GSM^|^123123123^|^customer
968209^|^SMS^|^20170329^|^Ordered^|^2^|^89284562^|^GSM^|^123123124^|^subscriber
968210^|^SMS^|^20170719^|^Ordered^|^1^|^89284563^|^GSM^|^123123125^|^customer
968211^|^SMS^|^20170630^|^Ordered^|^2^|^89284564^|^GSM^|^123123126^|^customer
968212^|^SMS^|^20170809^|^Ordered^|^1^|^89284565^|^GSM^|^123123127^|^subscriber
968213^|^SMS^|^20170514^|^Ordered^|^1^|^89284566^|^GSM^|^123123128^|^household
968214^|^SMS^|^20170204^|^Ordered^|^1^|^89284567^|^GSM^|^123123129^|^subscriber
968215^|^SMS^|^20170802^|^Ordered^|^2^|^89284568^|^GSM^|^123123130^|^household
968216^|^SMS^|^20170508^|^Ordered^|^1^|^89284569^|^GSM^|^123123131^|^subscriber
968217^|^SMS^|^20170328^|^Ordered^|^2^|^89284570^|^GSM^|^123123132^|^subscriber
968218^|^SMS^|^20170520^|^Ordered^|^2^|^89284571^|^GSM^|^123123133^|^customer
968219^|^SMS^|^20170318^|^Ordered^|^2^|^89284572^|^GSM^|^123123134^|^subscriber
968220^|^SMS^|^20170827^|^Ordered^|^1^|^89284573^|^GSM^|^123123135^|^household
968221^|^SMS^|^20170317^|^Ordered^|^1^|^89284574^|^GSM^|^123123136^|^customer
968222^|^SMS^|^20170607^|^Ordered^|^2^|^89284575^|^GSM^|^123123137^|^household
968223^|^SMS^|^20170503^|^Ordered^|^1^|^89284576^|^GSM^|^123123138^|^household
968224^|^SMS^|^20170412^|^Ordered^|^2^|^89284577^|^GSM^|^123123139^|^subscriber
968225^|^SMS^|^20170115^|^Ordered^|^1^|^89284578^|^GSM^|^123123140^|^subscriber
968226^|^SMS^|^20170528^|^Ordered^|^2^|^89284579^|^GSM^|^123123141^|^household
968227^|^SMS^|^20170306^|^Ordered^|^1^|^89284580^|^GSM^|^123123142^|^household
968228^|^SMS^|^20170406^|^Ordered^|^1^|^89284581^|^GSM^|^123123143^|^subscriber
968229^|^SMS^|^20170625^|^Ordered^|^2^|^89284582^|^GSM^|^123123144^|^subscriber
968230^|^SMS^|^20170524^|^Ordered^|^1^|^89284583^|^GSM^|^123123145^|^subscriber
968231^|^SMS^|^20170526^|^Ordered^|^1^|^89284584^|^GSM^|^123123146^|^household
968232^|^SMS^|^20170802^|^Ordered^|^2^|^89284585^|^GSM^|^123123147^|^household
968233^|^SMS^|^20170714^|^Ordered^|^1^|^89284586^|^GSM^|^123123148^|^subscriber
968234^|^SMS^|^20170704^|^Ordered^|^2^|^89284587^|^GSM^|^123123149^|^subscriber
968235^|^SMS^|^20170509^|^Ordered^|^2^|^89284588^|^GSM^|^123123150^|^subscriber
968236^|^SMS^|^20170824^|^Ordered^|^2^|^89284589^|^GSM^|^123123151^|^subscriber
968237^|^SMS^|^20170807^|^Ordered^|^1^|^89284590^|^GSM^|^123123152^|^household
968238^|^SMS^|^20170414^|^Ordered^|^1^|^89284591^|^GSM^|^123123153^|^household
968239^|^SMS^|^20170305^|^Ordered^|^2^|^89284592^|^GSM^|^123123154^|^household
968240^|^SMS^|^20170308^|^Ordered^|^1^|^89284593^|^GSM^|^123123155^|^customer
968241^|^SMS^|^20170820^|^Ordered^|^1^|^89284594^|^GSM^|^123123156^|^household
968242^|^SMS^|^20170209^|^Ordered^|^1^|^89284595^|^GSM^|^123123157^|^customer
968243^|^SMS^|^20170208^|^Ordered^|^1^|^89284596^|^GSM^|^123123158^|^household
968244^|^SMS^|^20170829^|^Ordered^|^1^|^89284597^|^GSM^|^123123159^|^customer
968245^|^SMS^|^20170722^|^Ordered^|^2^|^89284598^|^GSM^|^123123160^|^subscriber
968246^|^SMS^|^20170804^|^Ordered^|^2^|^89284599^|^GSM^|^123123161^|^household
968247^|^SMS^|^20170102^|^Ordered^|^2^|^89284600^|^GSM^|^123123162^|^household
968248^|^SMS^|^20170520^|^Ordered^|^2^|^89284601^|^GSM^|^123123163^|^customer
968249^|^SMS^|^20170830^|^Ordered^|^2^|^89284602^|^GSM^|^123123164^|^customer
968250^|^SMS^|^20170704^|^Ordered^|^1^|^89284603^|^GSM^|^123123165^|^customer
968251^|^SMS^|^20170813^|^Ordered^|^1^|^89284604^|^GSM^|^123123166^|^household
968252^|^SMS^|^20170130^|^Ordered^|^1^|^89284605^|^GSM^|^123123167^|^subscriber
968253^|^SMS^|^20170408^|^Ordered^|^2^|^89284606^|^GSM^|^123123168^|^subscriber
968254^|^SMS^|^20170822^|^Ordered^|^1^|^89284607^|^GSM^|^123123169^|^customer
968255^|^SMS^|^20170513^|^Ordered^|^2^|^89284608^|^GSM^|^123123170^|^household
968256^|^SMS^|^20170626^|^Ordered^|^2^|^89284609^|^GSM^|^123123171^|^subscriber
968257^|^SMS^|^20170219^|^Ordered^|^2^|^89284610^|^GSM^|^123123172^|^customer
968258^|^SMS^|^20170416^|^Ordered^|^2^|^89284611^|^GSM^|^123123173^|^household
968259^|^SMS^|^20170319^|^Ordered^|^2^|^89284612^|^GSM^|^123123174^|^customer
968260^|^SMS^|^20170719^|^Ordered^|^1^|^89284613^|^GSM^|^123123175^|^household
968261^|^SMS^|^20170105^|^Ordered^|^1^|^89284614^|^GSM^|^123123176^|^household
