contr_id^|^contr_valid_from_dt^|^contr_valid_until_dt^|^contr_subtype_cd^|^contr_ident_type_cd^|^contr_status_dt^|^contr_status_cd^|^contr_stat_rsn_cd^|^contr_sign_dt^|^contr_receive_dt^|^contr_orig_start_dt^|^contr_pl_expire_dt^|^contr_commit_per_start_dt^|^contr_next_subsidy_dt^|^contr_last_subsidy_dt^|^has_skeleton_contract^|^customer_id
47^|^20101204^|^20230917^|^SUB^|^SKEL^|^20161222^|^Activated^|^Statusreasoncode^|^20170209^|^20170319^|^20151223^|^20230930^|^20230627^|^20230126^|^20230726^|^1^|^89284561
48^|^20101006^|^20230711^|^SUB^|^SKEL^|^20171114^|^TerminatedUnkown^|^Statusreasoncode^|^20171017^|^20170727^|^20160516^|^20231011^|^20230211^|^20231019^|^20221123^|^1^|^89284562
49^|^20110829^|^20221230^|^CON^|^SKEL^|^20170321^|^Pending^|^Statusreasoncode^|^20170709^|^20170628^|^20141214^|^20230206^|^20231026^|^20230102^|^20230521^|^1^|^89284563
50^|^20100801^|^20230203^|^CON^|^CID^|^20170912^|^Activated^|^Statusreasoncode^|^20170531^|^20170805^|^20151029^|^20231027^|^20221225^|^20230706^|^20230411^|^1^|^89284564
51^|^20110809^|^20230716^|^CON^|^SKEL^|^20170502^|^Pending^|^Statusreasoncode^|^20171119^|^20170619^|^20160221^|^20230808^|^20230709^|^20230815^|^20230804^|^1^|^89284565
52^|^20111105^|^20230129^|^CON^|^MSUB^|^20171010^|^Pending^|^Statusreasoncode^|^20170828^|^20170824^|^20150914^|^20221207^|^20230724^|^20231019^|^20221219^|^1^|^89284566
53^|^20110416^|^20231107^|^CON^|^SKEL^|^20170424^|^Activated^|^Statusreasoncode^|^20161219^|^20170816^|^20160401^|^20221221^|^20231022^|^20230307^|^20230309^|^1^|^89284567
54^|^20100806^|^20230308^|^CON^|^SKEL^|^20171119^|^TerminatedUnkown^|^Statusreasoncode^|^20170114^|^20170922^|^20160201^|^20231024^|^20230517^|^20230314^|^20230810^|^1^|^89284568
55^|^20101021^|^20230827^|^SUB^|^SKEL^|^20170620^|^TerminatedUnkown^|^Statusreasoncode^|^20170423^|^20161229^|^20150502^|^20230113^|^20231107^|^20230624^|^20221207^|^1^|^89284569
56^|^20111017^|^20230723^|^SUB^|^MSUB^|^20170613^|^Activated^|^Statusreasoncode^|^20171101^|^20170205^|^20160312^|^20230731^|^20230220^|^20230105^|^20230610^|^1^|^89284570
57^|^20101231^|^20230110^|^SUB^|^SKEL^|^20170906^|^Pending^|^Statusreasoncode^|^20170601^|^20161207^|^20160803^|^20230801^|^20231006^|^20230115^|^20230408^|^1^|^89284571
58^|^20100915^|^20230713^|^CON^|^SKEL^|^20170830^|^Activated^|^Statusreasoncode^|^20170405^|^20170401^|^20160508^|^20230927^|^20230227^|^20231017^|^20230908^|^1^|^89284572
59^|^20101102^|^20221229^|^SUB^|^CNPCN^|^20171012^|^Activated^|^Statusreasoncode^|^20170710^|^20170418^|^20160112^|^20230124^|^20230927^|^20230715^|^20231118^|^1^|^89284573
60^|^20100729^|^20230217^|^SUB^|^MSUB^|^20170216^|^Activated^|^Statusreasoncode^|^20170221^|^20170302^|^20151015^|^20230408^|^20230122^|^20230922^|^20230227^|^1^|^89284574
61^|^20101208^|^20231101^|^CON^|^CNPCN^|^20171013^|^Activated^|^Statusreasoncode^|^20170419^|^20170804^|^20161025^|^20231009^|^20230220^|^20230507^|^20230607^|^1^|^89284575
62^|^20101022^|^20230908^|^CON^|^CID^|^20170408^|^Pending^|^Statusreasoncode^|^20170312^|^20170222^|^20150106^|^20230128^|^20230412^|^20221120^|^20230620^|^1^|^89284576
63^|^20110414^|^20230309^|^SUB^|^SKEL^|^20170502^|^Pending^|^Statusreasoncode^|^20170715^|^20170102^|^20150714^|^20230830^|^20230503^|^20221228^|^20230504^|^1^|^89284577
64^|^20101003^|^20230625^|^CON^|^MSUB^|^20171005^|^Pending^|^Statusreasoncode^|^20161124^|^20171117^|^20150321^|^20231016^|^20230726^|^20230217^|^20230204^|^1^|^89284578
65^|^20101126^|^20230509^|^CON^|^CID^|^20170325^|^Pending^|^Statusreasoncode^|^20170423^|^20170613^|^20150110^|^20230211^|^20221129^|^20230201^|^20231030^|^1^|^89284579
66^|^20110307^|^20230226^|^SUB^|^CID^|^20170423^|^TerminatedUnkown^|^Statusreasoncode^|^20171113^|^20170303^|^20150324^|^20230612^|^20230521^|^20231115^|^20230411^|^1^|^89284580
67^|^20100710^|^20230730^|^SUB^|^SKEL^|^20170729^|^TerminatedUnkown^|^Statusreasoncode^|^20170325^|^20171029^|^20160818^|^20230105^|^20230429^|^20230817^|^20231104^|^1^|^89284581
68^|^20100717^|^20231023^|^SUB^|^SKEL^|^20170820^|^Activated^|^Statusreasoncode^|^20170228^|^20170615^|^20161014^|^20231001^|^20230906^|^20231116^|^20230407^|^1^|^89284582
