prod_id^|^dwh_valid_from^|^dwh_valid_until^|^dwh_current_flag^|^technologie^|^traeger^|^produktklasse^|^produktbereich^|^produktgruppe^|^produkt^|^produktkomponenten^|^prov_rel_ind^|^description^|^dwh_in_date^|^dwh_last_user^|^dwh_status^|^map_status^|^herkunft
47^|^20181109^|^20200401^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180918^|^SYSDBA^|^AC^|^AC^|^IP
48^|^20180817^|^20200323^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180918^|^SYSDBA^|^AC^|^AC^|^IP
49^|^20180713^|^20201230^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20181023^|^SYSDBA^|^AC^|^AC^|^IP
50^|^20180920^|^20201026^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180319^|^SYSDBA^|^AC^|^AC^|^IP
51^|^20180514^|^20200126^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180820^|^SYSDBA^|^AC^|^AC^|^IP
52^|^20180319^|^20200921^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180825^|^SYSDBA^|^AC^|^AC^|^IP
53^|^20180621^|^20200714^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180503^|^SYSDBA^|^AC^|^AC^|^IP
54^|^20180108^|^20200731^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180629^|^SYSDBA^|^AC^|^AC^|^IP
55^|^20180720^|^20200117^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180617^|^SYSDBA^|^AC^|^AC^|^IP
56^|^20180907^|^20201105^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180308^|^SYSDBA^|^AC^|^AC^|^IP
57^|^20180316^|^20200205^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180331^|^SYSDBA^|^AC^|^AC^|^IP
58^|^20180529^|^20200925^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180703^|^SYSDBA^|^AC^|^AC^|^IP
59^|^20181205^|^20201108^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181101^|^SYSDBA^|^AC^|^AC^|^IP
60^|^20180710^|^20200512^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20181014^|^SYSDBA^|^AC^|^AC^|^IP
61^|^20180324^|^20200311^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180809^|^SYSDBA^|^AC^|^AC^|^IP
62^|^20180101^|^20201013^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180130^|^SYSDBA^|^AC^|^AC^|^IP
63^|^20180806^|^20201114^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180319^|^SYSDBA^|^AC^|^AC^|^IP
64^|^20180701^|^20200723^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180502^|^SYSDBA^|^AC^|^AC^|^IP
65^|^20181204^|^20200624^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180413^|^SYSDBA^|^AC^|^AC^|^IP
66^|^20180524^|^20201230^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180402^|^SYSDBA^|^AC^|^AC^|^IP
67^|^20180306^|^20201201^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180619^|^SYSDBA^|^AC^|^AC^|^IP
68^|^20180729^|^20200812^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180702^|^SYSDBA^|^AC^|^AC^|^IP
69^|^20180721^|^20201011^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181020^|^SYSDBA^|^AC^|^AC^|^IP
70^|^20181101^|^20201021^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181207^|^SYSDBA^|^AC^|^AC^|^IP
71^|^20181018^|^20200313^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180210^|^SYSDBA^|^AC^|^AC^|^IP
