soc^|^market_code^|^discount^|^creation_date^|^discount_type^|^is_flat_discount^|^rate_source^|^to_id
47^|^MMC^|^-4.805^|^20130213^|^GTY^|^1^|^DWH^|^213
48^|^MMC^|^-4.805^|^20131128^|^GTY^|^1^|^DWH^|^214
49^|^MMC^|^-4.805^|^20130329^|^GTY^|^1^|^DWH^|^215
50^|^MMC^|^-4.805^|^20130718^|^GTY^|^0^|^DWH^|^216
51^|^MMC^|^-4.705^|^20131204^|^GTY^|^1^|^DWH^|^217
52^|^MMC^|^-4.805^|^20131204^|^GTY^|^1^|^DWH^|^218
53^|^MMC^|^-4.705^|^20130205^|^GTY^|^1^|^DWH^|^219
54^|^MMC^|^-4.705^|^20130111^|^GTY^|^1^|^DWH^|^220
55^|^MMC^|^-4.705^|^20131222^|^GTY^|^0^|^DWH^|^221
56^|^MMC^|^-4.705^|^20131018^|^GTY^|^1^|^DWH^|^222
57^|^MMC^|^-4.705^|^20130319^|^GTY^|^0^|^DWH^|^223
58^|^MMC^|^-4.705^|^20130730^|^GTY^|^0^|^DWH^|^224
59^|^MMC^|^-4.805^|^20130721^|^GTY^|^0^|^DWH^|^225
60^|^MMC^|^-4.705^|^20130705^|^GTY^|^1^|^DWH^|^226
61^|^MMC^|^-4.705^|^20130119^|^GTY^|^1^|^DWH^|^227
62^|^MMC^|^-4.805^|^20130624^|^GTY^|^0^|^DWH^|^228
63^|^MMC^|^-4.705^|^20130202^|^GTY^|^0^|^DWH^|^229
64^|^MMC^|^-4.705^|^20130428^|^GTY^|^1^|^DWH^|^230
65^|^MMC^|^-4.805^|^20131203^|^GTY^|^1^|^DWH^|^231
66^|^MMC^|^-4.705^|^20131125^|^GTY^|^1^|^DWH^|^232
67^|^MMC^|^-4.805^|^20131028^|^GTY^|^0^|^DWH^|^233
68^|^MMC^|^-4.705^|^20130126^|^GTY^|^1^|^DWH^|^234
69^|^MMC^|^-4.705^|^20130724^|^GTY^|^0^|^DWH^|^235
70^|^MMC^|^-4.705^|^20130313^|^GTY^|^0^|^DWH^|^236
71^|^MMC^|^-4.705^|^20130729^|^GTY^|^1^|^DWH^|^237
72^|^MMC^|^-4.705^|^20130829^|^GTY^|^1^|^DWH^|^238
