product_id^|^ao_id^|^ao_subscr_id^|^ao_type^|^ao_src_sys_id^|^ao_name^|^ao_force_add_cd^|^mo_name^|^mo_effc_dt^|^mo_exp_dt^|^mo_status_dt^|^mo_status^|^mo_stat_reas_cd^|^business_line^|^so_id^|^so_nr^|^so_name^|^so_effec_date^|^so_exp_date^|^so_subtype_cd^|^so_conv_status_dt^|^so_conv_status^|^so_stat_reas_cd^|^so_lob^|^so_servv_type^|^so_bundle_cat_cd^|^so_lvl_cd^|^so_campg_relv_ind^|^so_min_contr_dur^|^so_subscr_only_ind^|^to_id^|^to_nr^|^to_name^|^to_effec_dt^|^to_exp_dt^|^to_conv_status_dt^|^to_conv_status^|^to_st_reason_cide^|^to_business_line^|^to_tariff_fam^|^to_credit_type_cd^|^to_skel_restrict_ind^|^to_card_type_cd^|^subscr_id
100^|^8968208^|^90^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^e^|^wireline^|^76^|^c^|^0^|^dc^|^89
101^|^8968209^|^91^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^n^|^wireline^|^77^|^p^|^0^|^dc^|^90
102^|^8968210^|^92^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^x^|^cable^|^78^|^p^|^0^|^dc^|^91
103^|^8968211^|^93^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^n^|^mobile^|^79^|^c^|^0^|^dc^|^92
104^|^8968212^|^94^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^x^|^cable^|^80^|^c^|^0^|^dc^|^93
105^|^8968213^|^95^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^x^|^mobile^|^81^|^p^|^0^|^dc^|^94
106^|^8968214^|^96^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^n^|^wireline^|^82^|^c^|^0^|^dc^|^95
107^|^8968215^|^97^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^n^|^mobile^|^83^|^p^|^0^|^dc^|^96
108^|^8968216^|^98^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^f^|^mobile^|^84^|^p^|^0^|^dc^|^97
109^|^8968217^|^99^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^x^|^wireline^|^85^|^p^|^0^|^dc^|^98
110^|^8968218^|^100^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^a^|^mobile^|^86^|^c^|^0^|^dc^|^99
111^|^8968219^|^101^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^x^|^cable^|^87^|^p^|^0^|^dc^|^100
112^|^8968220^|^102^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^f^|^wireline^|^88^|^c^|^0^|^dc^|^101
113^|^8968221^|^103^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^a^|^wireline^|^89^|^c^|^0^|^dc^|^102
114^|^8968222^|^104^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^f^|^mobile^|^90^|^c^|^0^|^dc^|^103
115^|^8968223^|^105^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^e^|^wireline^|^91^|^p^|^0^|^dc^|^104
116^|^8968224^|^106^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^e^|^mobile^|^92^|^p^|^0^|^dc^|^105
117^|^8968225^|^107^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^n^|^wireline^|^93^|^c^|^0^|^dc^|^106
118^|^8968226^|^108^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^f^|^mobile^|^94^|^c^|^0^|^dc^|^107
119^|^8968227^|^109^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^e^|^mobile^|^95^|^p^|^0^|^dc^|^108
120^|^8968228^|^110^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^a^|^mobile^|^96^|^c^|^0^|^dc^|^109
121^|^8968229^|^111^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^f^|^cable^|^97^|^c^|^0^|^dc^|^110
122^|^8968230^|^112^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^x^|^mobile^|^98^|^p^|^0^|^dc^|^111
123^|^8968231^|^113^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^e^|^mobile^|^99^|^p^|^0^|^dc^|^112
124^|^8968232^|^114^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^n^|^wireline^|^100^|^p^|^0^|^dc^|^113
125^|^8968233^|^115^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^x^|^wireline^|^101^|^c^|^0^|^dc^|^114
126^|^8968234^|^116^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^a^|^cable^|^102^|^p^|^0^|^dc^|^115
127^|^8968235^|^117^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^n^|^mobile^|^103^|^c^|^0^|^dc^|^116
128^|^8968236^|^118^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^a^|^mobile^|^104^|^c^|^0^|^dc^|^117
129^|^8968237^|^119^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^x^|^wireline^|^105^|^p^|^0^|^dc^|^118
130^|^8968238^|^120^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^n^|^cable^|^106^|^p^|^0^|^dc^|^119
131^|^8968239^|^121^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^f^|^cable^|^107^|^p^|^0^|^dc^|^120
132^|^8968240^|^122^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^n^|^mobile^|^108^|^c^|^0^|^dc^|^121
133^|^8968241^|^123^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^x^|^wireline^|^109^|^p^|^0^|^dc^|^122
134^|^8968242^|^124^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^n^|^mobile^|^110^|^c^|^0^|^dc^|^123
135^|^8968243^|^125^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^n^|^mobile^|^111^|^c^|^0^|^dc^|^124
136^|^8968244^|^126^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^n^|^cable^|^112^|^p^|^0^|^dc^|^125
137^|^8968245^|^127^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^a^|^cable^|^113^|^c^|^0^|^dc^|^126
138^|^8968246^|^128^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^f^|^cable^|^114^|^c^|^0^|^dc^|^127
139^|^8968247^|^129^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^x^|^wireline^|^115^|^p^|^0^|^dc^|^128
140^|^8968248^|^130^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^cable^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^x^|^cable^|^116^|^c^|^0^|^dc^|^129
141^|^8968249^|^131^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^u^|^e^|^mobile^|^117^|^p^|^0^|^dc^|^130
142^|^8968250^|^132^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^x^|^mobile^|^118^|^c^|^0^|^dc^|^131
143^|^8968251^|^133^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^e^|^mobile^|^119^|^p^|^0^|^dc^|^132
144^|^8968252^|^134^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^a^|^wireline^|^120^|^p^|^0^|^dc^|^133
145^|^8968253^|^135^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^x^|^cable^|^121^|^p^|^0^|^dc^|^134
146^|^8968254^|^136^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^a^|^x^|^wireline^|^122^|^c^|^0^|^dc^|^135
147^|^8968255^|^137^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^e^|^mobile^|^123^|^c^|^0^|^dc^|^136
148^|^8968256^|^138^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^mobile^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^t^|^n^|^mobile^|^124^|^p^|^0^|^dc^|^137
149^|^8968257^|^139^|^soc^|^kias^|^gigatv^|^^|^gigakombi^|^^|^^|^^|^a^|^^|^mmo^|^223431^|^^|^^|^^|^^|^^|^^|^^|^^|^wireline^|^^|^^|^^|^0^|^31^|^0^|^223431^|^babnkdy60^|^busallnetbasic60/1sub^|^^|^^|^^|^p^|^f^|^mobile^|^125^|^p^|^0^|^dc^|^138
