sc_id^|^sc_valid_from_date^|^sc_valid_until_date^|^sc_num^|^sc_name^|^sc_orig_num^|^sc_eff_date^|^sc_expire_date^|^sc_ident_type_cd^|^sc_ident1_num^|^sc_ident2_num^|^sc_ident3_num^|^sc_cust_rel_role_cd
53^|^20130703^|^20960404^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180110^|^20191212^|^SCI^|^1694498^|^1694498^|^1694498^|^D
54^|^20140617^|^20970827^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180918^|^20191129^|^SCI^|^1694498^|^1694498^|^1694498^|^D
55^|^20130428^|^20940430^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180211^|^20191211^|^SCI^|^1694498^|^1694498^|^1694498^|^D
56^|^20150421^|^20980127^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180413^|^20191207^|^SCI^|^1694498^|^1694498^|^1694498^|^D
57^|^20110814^|^20940411^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180709^|^20190624^|^SCI^|^1694498^|^1694498^|^1694498^|^D
58^|^20121210^|^20960727^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180213^|^20190321^|^SCI^|^1694498^|^1694498^|^1694498^|^D
59^|^20131027^|^20930109^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180228^|^20190608^|^SCI^|^1694498^|^1694498^|^1694498^|^D
60^|^20120319^|^20930612^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180914^|^20190422^|^SCI^|^1694498^|^1694498^|^1694498^|^D
61^|^20131214^|^20970701^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181114^|^20190412^|^SCI^|^1694498^|^1694498^|^1694498^|^D
62^|^20130306^|^20930206^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180801^|^20190802^|^SCI^|^1694498^|^1694498^|^1694498^|^D
63^|^20130928^|^20940807^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180728^|^20190808^|^SCI^|^1694498^|^1694498^|^1694498^|^D
64^|^20160328^|^20921031^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180929^|^20190924^|^SCI^|^1694498^|^1694498^|^1694498^|^D
65^|^20120629^|^20940623^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180503^|^20190721^|^SCI^|^1694498^|^1694498^|^1694498^|^D
66^|^20101126^|^20970201^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180816^|^20190414^|^SCI^|^1694498^|^1694498^|^1694498^|^D
